oljeprisfall	1
målfest	3
serieledelsen	2
verdensrekorden	1
økte	1

millionsmell	-1
skyhøye	-2
kostnadssmell	-2
smellen	-1
koster	-1
rammes	-1
økte kostnader	-2
dyrere	-1
skytes	-1
skogbrannfare	-2
masseinnvandring	-1
masseinnvandringen	-1
overtent	-3
tabben	-2
fleskeberget	-2
varsler	-1
